shortnam,euro1900,excolony,avexpr,logpgp95,cons1,cons90,democ00a,cons00a,extmort4,logem4,loghjypl,baseco
MDG,0,1,4.4545455,6.8351846,4,3,0,1,536.04,6.284209,-3.194183,1
MEX,15.000001,1,7.5,8.943768,3,3,0,1,71,4.26268,-0.83701754,1
MKD,100,0,,8.061487,,,,,,,,
MLI,0,1,4,6.565265,3,1,0,1,2940,7.986165,-3.3524072,1
MLT,,1,7.2272725,9.427063,,,,,16.3,2.791165,-0.77002823,1
MMR,0,1,5.7727275,,7,1,0,1,34.6,3.5438535,-3.5404594,
MNG,0,0,7.3636365,7.2997975,,,,,,,,
MOZ,2.5,1,6.5,6.461468,2,3,0,1,,,-3.2441936,
MRT,0,1,,7.4145727,5,3,0,1,280,5.6347895,-2.9957323,
MUS,5,1,,9.053686,7,7,0,1,30.5,3.4177268,-1.3394108,
MWI,2.7,1,6.818182,6.461468,1,1,0,1,,,-3.506558,
MYS,0,1,7.9545455,8.8942585,7,7,0,1,17.7,2.8735647,-1.3205067,1
NAM,0,1,,8.515191,3,3,0,1,,,-1.6398971,
NER,0,1,5,6.733402,3,3,0,1,400,5.9914646,-3.5404594,1
NGA,0,1,5.5454545,6.8134446,7,1,0,1,2004,7.6029005,-3.0365543,1
NIC,20,1,5.2272725,7.544332,1,3,1,1,163.3,5.095589,-2.0714734,1
NLD,100,0,10,9.896966,,,,,,,-0.21567154,
NOR,100,0,9.954545,10.023933,,,,,,,-0.2757535,
NPL,0,1,,6.937314,1,7,1,1,,,,
NZL,93,1,9.727273,9.756147,7,7,10,7,8.55,2.1459312,-0.33267942,1
OMN,0,1,7.1363635,9.208339,,,,,,,-0.85802186,
PAK,0,1,6.0454545,7.3524413,1,3,0,1,36.99,3.6106477,-2.0557249,1
PAN,20,1,5.909091,8.836374,3,7,0,1,163.3,5.095589,-1.5005835,1
PER,30.000002,1,5.7727275,8.396154,1,7,4,3,71,4.26268,-1.4396951,1
PHL,1,1,5.4545455,8.098643,3,7,0,1,,,-2.0714734,
PNG,0,1,7.2727275,,7,7,0,1,170,5.1357985,-2.5510464,
POL,100,0,7.681818,8.655214,,,,,,,-1.4354845,
PRK,0,0,,,,,,,,,,
PRT,100,0,9.181818,9.489486,,,,,,,-1.005122,
PRY,25,1,6.9545455,8.207947,1,5,1,2,78.1,4.3579903,-1.7719568,1
QAT,0,1,7.7272725,9.685331,,,,,,,,
ROM,100,0,7.2727275,8.387085,,,,,,,-2.1803675,
RUS,100,0,8.454545,8.405144,,,,,,,-0.8746691,
RWA,0,1,,6.4769726,1,1,0,1,280,5.6347895,-3.1465552,
SAU,0,1,7.590909,9.2399,,,,,,,-0.638659,
SDN,0,1,4,7.3065314,7,1,0,1,88.2,4.479607,-2.7030625,1
SEN,0,1,6,7.4024515,3,3,0,1,164.66,5.103883,-2.6310892,1
SGP,4,1,9.318182,10.146434,7,3,0,1,17.7,2.8735647,-0.5008753,1
SLE,0,1,5.818182,6.253829,,3,,,483,6.1800165,-2.748872,1
SLV,20,1,5,7.948032,3,,,3,78.1,4.3579903,-1.8515095,1
SOM,0,1,3,,7,1,0,1,,,-3.015935,
STP,100,1,8.409091,,,,,,,,,
SUR,1,,4.681818,8.01,,,,1,32.18,3.4713452,-1.3704209,
SVK,100,0,,8.852236,,,,,,,,
SVN,,0,,9.300181,,,,,,,,
SWE,100,0,9.5,9.866304,,,,,,,-0.23952703,
SWZ,0,1,,8.10772,2,1,0,1,,,-1.8078889,
SYR,0,1,5.818182,8.029433,,,,,,,-0.8255364,
TCD,0,1,,6.8351846,1,1,0,1,280,5.6347895,-3.4420192,
TGO,0,1,6.909091,7.222566,3,1,0,1,668,6.504288,-3.218876,1
THA,0,0,7.6363635,8.774931,,,,,140,4.9416423,-1.8515095,
TJK,,0,,6.8875527,,,,,,,,
TKM,,0,,7.6401234,,,,,,,,
TTO,40,1,7.4545455,8.76873,7,7,0,1,85,4.4426513,-0.69715524,1
TUN,3,1,6.4545455,8.482602,1,3,0,1,63,4.1431346,-1.5278579,1
TUR,0,0,7.4545455,8.641179,,,,,,,-1.5232602,
TWN,0,0,9.227273,,,,,,,,-0.809681,
TZA,0,1,6.6363635,6.253829,3,3,0,1,145,5.6347895,-3.4420192,1
UGA,0,1,4.4545455,6.9660244,7,3,0,1,280,5.6347895,-3.4420192,1
UKR,100,0,,7.8119736,,,,,,,,
URY,60.000004,1,7,9.031214,1,3,1,1,71,4.26268,-1.0788096,1
USA,87.5,1,10,10.21574,7,7,10,7,15,2.7080503,0,1
UZB,,0,,7.8079166,,,,,,,,
VEN,20,1,7.1363635,9.071078,1,3,1,3,78.1,4.3579903,-0.7031975,1
VNM,0,1,6.409091,7.279319,1,3,0,1,140,4.9416423,,1
YEM,0,1,6.3636365,6.6463904,,,,,,,-1.551169,
YUG,100,0,6.318182,,,,,,,,-1.2039728,
ZAF,22,1,6.8636365,8.885994,3,7,3,3,15.5,2.74084,-1.3862944,1
ZAR,8,1,3.5,6.8669333,1,1,0,1,240,5.480639,-3.4112477,1
ZMB,3,1,6.6363635,6.8134446,3,1,0,1,,,-2.9759297,
ZWE,7.2,1,6,7.696213,7,3,0,1,,,-2.7333682,
